index,MPC,primary deficit,debt,consumption,capital,r,ANMP,income,year,debt_chg,consumption_chg,capital_chg,income_chg,wage_chg,cap_income_chg
130,0.5,-0.013776941675698717,2.196794016974328,1.434215114424256,8.901602991512831,0.016272895195049555,0.013412822074311617,1.545200742988074,2156.0,2.196794016974328,-0.003746975077976167,-1.0983970084871686,0.0072386534858419616,-0.05402640418118651,0.0612650576670284
131,0.5,-0.013777277502462526,2.1967973010910535,1.4342149563844873,8.901601349454468,0.016272904621875098,0.013412826787724388,1.5452004541103794,2157.0,2.1967973010910535,-0.003747133117744994,-1.0983986505455317,0.007238364608147307,-0.05402648841716744,0.061264853025314835
132,0.5,-0.013777583510735778,2.1968002936067705,1.4342148123772878,8.901599853196611,0.01627291321168302,0.013412831082628349,1.545200190882551,2158.0,2.1968002936067705,-0.0037472771249444925,-1.0984001468033888,0.007238101380318884,-0.05402656517373561,0.06126466655405454
133,0.5,-0.013777862348145561,2.1968030204131654,1.4342146811566827,8.901598489793413,0.016272921038792937,0.013412834996183315,1.5451999510270924,2159.0,2.1968030204131654,-0.003747408345549541,-1.0984015102065872,0.0072378615248602785,-0.054026635114997675,0.06126449663985787
134,0.5,-0.013778116427231476,2.1968055051029554,1.43421456158733,8.901597247448517,0.01627292817092557,0.013412838562249618,1.5451997324687312,2160.0,2.1968055051029554,-0.0037475279149021823,-1.0984027525514826,0.0072376429664990916,-0.054026698846093034,0.061264341812592174
135,0.5,-0.013778347946319597,2.196807769174018,1.4342144526346972,8.901596115412987,0.016272934669788616,0.013412841811681148,1.5451995333164636,2161.0,2.196807769174018,-0.003747636867535098,-1.0984038845870128,0.007237443814231526,-0.054026756918430036,0.061264200732661624
136,0.5,-0.013778558908542996,2.196809832215397,1.4342143533561098,8.901595083892298,0.01627294059161076,0.01341284477259222,1.5451993518471918,2162.0,2.196809832215397,-0.003747736146122449,-1.098404916107702,0.007237262344959694,-0.054026809834456825,0.061264072179416616
137,0.5,-0.013778751139173331,2.1968117120767934,1.434214262892595,8.9015941439616,0.016272945987628018,0.013412847470600842,1.5451991864908152,2163.0,2.1968117120767934,-0.0037478266096373503,-1.0984058560384007,0.007237096988583103,-0.05402685805200843,0.06126395504059158
138,0.5,-0.013778926301413544,2.196813425023004,1.4342141804614499,8.901593287488494,0.016272950904527156,0.013412849929050424,1.5451990358166454,2164.0,2.196813425023004,-0.003747909040782371,-1.0984067125115065,0.007236946314413295,-0.05402690198826813,0.06126384830268161
139,0.5,-0.013779085910788249,2.1968149858746493,1.434214105349469,8.90159250706267,0.01627295538484956,0.01341285216921162,1.5451988985210283,2165.0,2.1968149858746493,-0.0037479841527632285,-1.09840749293733,0.0072368090187961975,-0.054026942023376906,0.06126375104217299
140,0.5,-0.01377923134825638,2.196816408136404,1.4342140369067737,8.901591795931793,0.01627295946735932,0.013412854210466507,1.5451987734160622,2166.0,2.196816408136404,-0.0037480525954585175,-1.0984082040682068,0.007236683913830033,-0.05402697850372253,0.06126366241755254
141,0.5,-0.013779363872159528,2.1968177041138426,1.4342139745411893,8.901591147943074,0.01627296318737867,0.013412856070476181,1.5451986594193226,2167.0,2.1968177041138426,-0.003748114961042992,-1.0984088520569255,0.00723656991709043,-0.054027011744936654,0.06126358166202692
